question_id,db_id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation_TO_FILL
1341,377,Which design principles for cloud architecture are recommended when re-architecting a large monolithic application? (Select TWO.),Use manual monitoring.,Use fixed servers.,Implement loose coupling.,Rely on individual components.,,CE,
1350,380,AWS trusted advisor provides recommendations on which of the following?,Cost optimization,Auditing,Serverless architecture,Performance,,AD,
1357,382,Which AWS services offer compute capabilities?,Amazon FC2,Amazon S3,Amazon Elastic Block Store (Amazon EBS),Amazon Cognito,,AE,
1361,386,Which of the following are general AWS Cloud design principles described in the AWS Well- Architected Framework? (Select TWO.),Consolidate key components into monolithic architectures.,Test systems at production scale.,Provision more capacity than a workload is expected to need.,Drive architecture design based on data collected about the workload behavior and requirements.,,AB,
1364,389,Which of the following are benefits of using the AWS Cloud? (Select TWO.),100% fault tolerance,Total control over underlying infrastructure,Fast provisioning of IT resources,Outsourcing all application coding to AWS,,BE,
1366,391,Which tasks require the use of the AWS account root user? (Select TWO.),Launching a new Amazon EC2 instance,Viewing AWS CloudTrail logs,Contacting AWS Support,Sign up for GovCloud.,,DE,
1368,392,What are the immediate benefits of using the AWS Cloud? (Select TWO.),Increased IT staff,Capital expenses are replaced with variable expenses.,User control of infrastructure,Increased agility.,,BD,
1372,393,A company is planning to launch an ecommerce site in a single AWS Region to a worldwide user base Which AWS services will allow the company to reach users and provide low latency and high transfer speeds? (Select TWO.),Application Load Balancer,AWS Global Accelerator,AWS Direct Connect,Amazon CloudFront,,BD,
1374,395,Which design principles of the AWS Well-Architected Framework help increase reliability? (Select TWO.),Automatically recover from failure,Enable traceability.,Scale horizontally to increase workload availability.,Automate security best practices,,AC,
1375,396,Which actions allow a company's security team to improve the security procedures for employees accessing AWS resources? (Select TWO.),Create IAM users for groups of employees to share,Create IAM policies based on least privilege principles,Create IAM users in different Availability Zones,Enable multi-factor authentication for privileged users,,BD,
1382,402,Which AWS services and features are provided to all customers at no charge? (Select TWO.),Amazon Aurora,VPC,Amazon SageMaker,AWS Identity and Access Management (IAM),,BD,
1386,403,Which AWS services can be used to gather information about AWS account activity? (Select TWO.),Amazon CloudFront,AWS Cloud9,AWS CloudTrail,AWS CloudHSM,,CE,
1388,404,Which of the following are advantages of AWS consolidated billing? (Select TWO.),The ability to receive one bill for multiple accounts,Service limits increasing by default in all accounts,A fixed discount on the monthly bill,"Potential volume discounts, as usage in all accounts is combined",,AD,
1392,405,Which are benefits of using Amazon RDS over Amazon EC2 when running relational databases on AWS? (Select TWO.),Automated backups,Schema management,Indexing of tables,Software patching,,AD,
1393,406,A company has stopped all of its Amazon EC2 instances but monthly billing charges continue to occur. What could be causing this? {Select TWO.),Amazon Elastic Block Store (Amazon EBS) storage charges,Operating system charges,Hardware charges,Elastic IP charges,,AD,
1398,409,Which of the following common IT tasks can AWS cover to free up company IT resources? (Select TWO.),Patching databases software,Testing application releases,Backing up databases,Creating database schema,,AC,
1401,412,A cloud practitioner wants information on the state of an existing AWS environment compared against established best practices Which AWS services or features should the cloud practitioner use to obtain this information? (Select TWO.),AWS Artifact,AWS Solutions Library,AWS Trusted Advisor,AWS Well-Architected Tool,,CD,
1844,414,A developer received the following error message during an AWS Cloud Formation deployment: Which action should the developer lake lo resolve this error?,Contact AWS Support to report an Issue with the Auto Scaling Groups (ASG) service,Add a DependsOn attribute to the ASGInstanceRole12345678 resource in the Cloud Formation template Then delete the stack,Modify the CloudFormation template to retain the ASGInstanceRole12345678 resource Then manually delete the resource after deployment,Add a force parameter when calling CloudFormation with the role-am of ASGInstanceRoiei2345678,,B,
1410,416,Which of the following security-related services does AWS offer? (Select TWO.),Multi-factor authentication physical tokens,AWS Trusted Advisor security checks,Data encryption,Automated penetration testing,,BC,
1414,417,What does the AWS Cloud provide to increase the speed and agility of execution for customers? (Select TWO.),Readily available resources with low provisioning times,Scalable compute capacity,Free Tier services usage,Access to AWS data centers,,AB,
1415,418,How can moving to the AWS Cloud help users reduce the time dedicated to operating system patching? (Select TWO.),Users can take advantage of managed services on AWS.,Users can outsource operating system patching to the AWS Support team.,AWS Professional Services will upgrade instances to the latest operating system versions.,Users have the ability to use license-included Amazon EC2 instances.,,DE,
1421,424,"According to the AWS shared responsibility model, which of the following are AWS responsibilities? (Select TWO)",Network infrastructure and visualization of infrastructure,Security of application data,Guest operating systems,Physical security of hardware,,AD,
1648,425,Which Amazon S3 feature or storage class gives a company the ability to recover files that have been accidently deleted?,S3 Intelligent-Tiering,S3 Standard,S3 Lifecycle policies,S3 Versioning,,B,
1429,428,A company has decided to migrate its production workloads to the AWS Cloud. Which actions can help reduce operational costs as part of the migration? (Select TWO.),Reduce overprovisioned instances.,Rehost all third-party licenses on AWS,Implement a highly available architecture,Use managed services.,,BD,
1430,429,A customer is deploying a new serverless application running on AWS Lambda. Which of the following are the customer's responsibilities under the AWS shared responsibility model? (Select TWO.),Application management,Platform management,Application identity and access,Storage infrastructure,,AC,
1434,430,A company has a compliance requirement to encrypt data in transit and at rest The company is serving the content through Amazon EC2 instances behind an Elastic Load Balancer and is storing data in Amazon Elastic Block Store (Amazon EBS) volumes. Which combination of AWS services should the company use to stay compliant with this requirement? (Select TWO.),Amazon GuardDuty,AWS Shield,AWS Certificate Manager (ACM),AWS Secrets Manager,,CE,
1439,431,"An online retail company has seasonal sales spikes several times a year, primarily around holidays. Demand is lower at other times. The company finds it difficult to predict the increasing infrastructure demand for each season. Which advantages of moving to the AWS Cloud would MOST benefit the company? (Select TWO.)",Global footprint,Elasticity,AWS service quotas,AWS shared responsibility model,,BC,
1441,433,Which AWS services or features can a company use to connect the network of its on-premises data center to AWS? (Select Two.),AWS VPN,AWS Directory Service,AWS Data Pipeline,AWS Direct Connect,,AE,
1443,435,Which databases are available on Amazon RDS? (Select Two.),Sybase,Microsoft SQL Server,IBM DB2,MongoDB,,BE,
1394,440,Which AWS service gives users the ability to build interactive business intelligence dashboards that include machine learning insights?,Amazon Athena,Amazon Kendra,Amazon QuickSight,Amazon Redshift,,D,
1451,442,"A company uses Amazon DynamoDB in its AWS cloud architecture. According to the AWS shared responsibility model, which of the following are responsibilities of the company? (Select Two.)",Operating system patching and upgrades,Application of appropriate permissions with IAM tools,Configuration of data encryption options,Creating of DynamoDB endpoints,,AC,
1452,443,A company wants to rightsize its infrastructure to control costs. At which points should the company rightsize? (Select Two.),Rightsize before a migration occurs to the cloud,Rightsize continuously after the cloud onboarding process,Rightsize when AWS support calls and explains that rightsizing is needed,Rightsize when seasonal workloads are at their peak,,AB,
1457,447,A user should contact the AWS Abuse team to report which situations? (Select Two.),A DDoS attack is being made on an AWS resource,A SQL injection attack is being made from an IP address that is not an AWS address,AWS resources are being used to host objectionable or illegal content,A company’s resources are being used in a way that is inconsistent with corporate policy,,CD,
1463,453,Which AWS services or features enable users to connect on-premises networks to a VPC? (Select Two.),AWS VPN,Elastic Load Balancing,AWS Direct Connect,VPC peering,,AC,
1466,454,Elasticity in the AWS Cloud refers to which of the following? (Select Two.),How quickly an Amazon EC2 instance can be restarted,The ability to rightsize resources as demand shifts,The maximum amount of RAM an Amazon EC2 instance can use,The pay-as-you-go billing model,,BE,
1469,455,Which guidelines are key AWS architectural design principles? (Select Two.),Design for fixed resources,Build scalable architectures,Use tightly coupled components,Use managed services when possible,,BD,
1478,458,Which of the following are user authentication services managed by AWS? (Select Two.),Amazon Cognito,AWS Lambda,AWS License Manager,AWS identity and Access Management (IAM),,AD,
1482,462,What does the AWS cloud provide to increase the speed and agility of execution for customers? (Select Two.),Readily available resources with low provisioning times,Scalable compute capacity,Free Tier Service usage,Access to AWS data centers,,AB,
1483,463,Which of the following are customer responsibilities under the AWS shared responsibility model? (Select Two.),Physical security of AWS facilities,Configuration of security groups,Encryption of customer data on AWS,Management of AWS Lambda infrastructure,,BC,
1489,466,Which services can be used to deploy applications on AWS? (Select Two.),AWS Elastic Beanstalk,AWS Config,AWS OpsWorks,AWS Application Discovery Service,,AD,
1498,467,A company has performance and regulatory requirements that call for it to run its workload only in its on-premises data center. Which AWS services or resources should the company use? (Select Two.),Amazon Pinpoint,Amazon WorkLink,AWS Outposts,AWS Snowball Edge,,CD,
1500,468,Which of the following are AWS Support plans that provide access to the full set of AWS Trusted Advisor checks? (Select Two.),AWS Enterprise Support,AWS Basic Support,AWS Business Support,AWS Developer Support,,AC,
1508,475,Which of the following are advantages of using Amazon EC2 instances over traditional on-premses servers? (Select TWO.),Pay-as-you-go pricing,Automation,Self-maintenance of servers,Agility,,AE,
1275,476,Which Amazon EC2 pricing model is the MOST cost efficient for an uninterruptible workload that runs once a year for 24 hours?,On-Demand Instances,Reserved Instances,Spot Instances,Dedicated Instances,,A,
1510,477,Which controls are shared under the AWS shared responsibility model? (Select TWO.),Awareness and training,Patching of Amazon RDS,Configuration management,Physical and environmental controls,,AC,
1511,478,A company needs to use SQL to query data from Amazon S3. Which AWS services or features can the company use to meet this requirement? (Select TWO.),AWS Data Exchange,Amazon Athena,S3 Select,S3 Transfer Acceleration,,BD,
1516,479,Which cloud characteristics enable a company to provision or release computing capacity as required? (Select Two.),Scalability,Economies of scale,Elasticity,Agility,,AC,
1521,480,A company has a compliance requirement to encrypt data in transit and at rest. The company is serving the content through Amazon EC2 instances behind an Elastic Load Balancer! and is storing data in Amazon Elastic Block Store (Amazon EBS) volumes. Which combination of AWS services should the company use to stay compliant with this requirement? (Select TWO.),Amazon GuardDuty,AWS Shield,AWS Certificate Manager (ACM),AWS Secrets Manager,,CE,
1531,487,What are the benefits of consolidated billing for AWS Cloud services? (Select TWO.),Volume discounts,A minimal additional fee for use,One bill for multiple accounts,Installment payment options,,AC,
1532,488,A company has decided to migrate its production workloads to the AWS Cloud. Which actions can help reduce operational costs as part of the migration? (Select TWO.),Reduce overprovisioned instances,Rehost all third-party licenses on AWS,Implement a highly available architecture,Use managed services,,BD,
1320,489,Which AWS service does AWS Snowball Edge natively support?,AWS Server Migration Service (AWS SMS),Amazon Aurora,AWS Trusted Advisor,Amazon EC2,,A,
1543,490,What are characteristics of AWS IAM users and groups? (Select TWO.),Groups can be nested and can contain other groups,A user can be a member of multiple groups,Groups can contain users only and cannot be nested,A user can only be a member of a single group at one time,,BC,
1544,491,A company recently created its first AWS account. Which AWS services will require the use of a VPC? (Select TWO.),Amazon S3,Amazon Elastic File System (Amazon EFS),Amazon Cognito,Amazon DynamoDB,,DE,
1546,492,Which guidelines are best practices for using AWS Identity and Access Management (IAM)? (Select TWO.),Share access keys,Create individual IAM users,Use inline policies instead of customer managed policies,Grant maximum privileges to IAM users,,CE,
1263,499,Which task requires the use of AWS account root account user credentials?,Closing an AWS account,Creating a log file,Modifying IAM user permissions,Deleting IAM users,,A,
1547,500,Which AWS service can be used to run Amazon EC2 instances on-premises at a user site?,AWS Snowball Edge,Amazon CloudFront,Lambda@Edge,AWS Lambda,,A,
1662,501,A company is moving multiple applications to a single AWS account. The company wants to monitor the AWS Cloud costs incurred by each application. What can the company do to meet this requirement?,Set up invoiced billing.,Use AWS Artifact.,Set budgets in Cost Explorer.,Create cost allocation tags.,,C,
1484,502,Which pillar of the AWS Well-Architected Framework specifies that resources be provisioned in a timely manner and scale as needed to maintain effectiveness as demand changes?,Cost optimization,Security,Operational excellence,Performance efficiency,,D,
1757,503,A company needs to migrate an existing on-premises database to the AWS Cloud. The company must be able to install custom software on the database instance. Which AWS service can the company use to meet these requirements?,Amazon DynamoDB,Amazon RDS,Amazon EC2,Amazon Redshift,,C,
1554,505,Which of the following security resources are supplied by AWS? (Select TWO.),Trusted Advisor checks,Service intrusion metrics,Penetration testing,Educational webinars,,AC,
1555,506,Which of the following are benefits of using AWS Trusted Advisor? (Choose two.),Providing high-performance container orchestration,Creating and rotating encryption keys,Detecting underutilized resources to save costs,Improving security by proactively monitoring the AWS environment,,CD,
1558,507,"A company wants to build an application for a new line of business. According to the AWS Welt-Architected Framework, what design principles should be implemented? (Select TWO.)",Consolidate multiple AWS accounts into a single account.,Buy and host hardware in the AWS Cloud,Decouple the AWS Cloud architecture to break up monolithic deployments,Move on-premises network hardware to VPCs,,AE,
1559,508,Which actions should a company take to avoid failure in an AWS architecture design? (Select TWO),Separate Amazon EC2 instances into different Availability Zones.,Enable Alexa for Business for business applications,Use Amazon Workspaces to reduce the need for operating system patching,Use AWS Glue to prepare and load failover data,,AE,
1564,509,A company wants to use AWS storage services that support data lifecycle management to reduce the cost of storing files that are not accessed frequently. Which AWS services meets these requirements? (Select TWO.),Amazon FSx,Amazon Elastic Block Store (Amazon EBS),Amazon Elastic File System (Amazon EFS),Amazon S3,,DE,
1567,510,Which of the following can an AWS customer use to launch a new Amazon Relational Database Service (Amazon RDS) cluster? (Select TWO.),AWS Concierge,AWS CloudFormation,Amazon Simple Storage Service (Amazon S3),Amazon EC2 Auto Scaling,,AB,
1766,511,A user is moving a workload from a local data center to an architecture that is distributed between the local data center and the AWS Cloud. Which type of migration is this?,On-premises to cloud native,Hybrid to cloud native,On-premises to hybrid,Cloud native to hybrid,,C,
1695,512,Which AWS service allows users to provision resources using a consistent and repeatable process?,AWS Systems Manager,AWS CloudFormation,AWS Batch,AWS Config,,B,
1340,513,Which AWS service acts as a data extract transform and load (ETL) tool to make it easy to prepare data for analytics?,Amazon QuickSight,Amazon Athena,AWS Glue,AWS Elastic Beanstalk,,C,
1254,514,Which duty is a responsibility of AWS under the AWS shared responsibility model?,Identity and access management,Server-side encryption (SSE),Firewall configuration,Maintaining physical hardware,,A,
1572,515,"A company wants optimized pricing for its Amazon EC2 instances. The applications running on these instances cannot tolerate interruptions, and the workloads must remain in operation for at least 1 year. Which purchasing options should the company use to meet these requirements? (Select TWO.)",Reserved Instances,Spot Instances,AWS Marketplace subscriptions,Savings Plans,,AC,
1573,516,Which AWS Weil-Architected Framework design principles support disaster recovery planning? (Select TWO.),Use Amazon S3 Glacier instead of Amazon S3 Standard,Use multiple AWS Regions,Use memory-optimized Amazon EC2 instances,Use Multi-AZ deployments.,,BD,
1682,517,"A user has limited knowledge o( AWS services, but wants to quickly deploy a scalable Node.js application in the AWS Cloud. Which service should be used to deploy the application?",AWS CloudFormation,AWS Elastic Beanstalk,Amazon EC2,AWS OpsWorks,,B,
1445,518,Which feature can be used to protect Amazon S3 buckets from accidental overwrites or deletes?,Lifecycle policy,Bucket versioning,Server-side encryption,Bucket ACL,,B,
1389,519,A company has a MySQL database running on a single Amazon EC2 instance. The company now requires higher availability in the event of an outage Which set of tasks would meet this requirement?,Add an Application Load Balancer in front of the EC2 instance,Configure EC2 Auto Recovery to move the instance to another Availability Zone.,Migrate to Amazon RDS and enable Multi-AZ.,Enable termination protection for the EC2 instance to avoid outages.,,C,
1542,520,"A developer is writing a new application that consists of multiple AWS microservices During quality assurance testing, the developer notices runtime errors in several areas of the application. Which AWS service should the developer use to help troubleshoot the errors?",AWS CloudTrail,AWS X-Ray,Amazon CloudWatch,Amazon Cognito,,B,
1602,521,Which AWS services or features help protect Amazon EC2 instances from DDoS attacks by limiting network access to the instances? (Select TWO.),Network ACLs,AWS Batch,Security groups,AWS Identity and Access Management (IAM),,AC,
1603,522,Which AWS services can a company use to transfer on-premises data to the AWS Cloud? (Select TWO.),AWS Snowcone,AWS Transit Gateway,AWS DataSync,AWS Backup,,BC,
1605,523,What tasks should a customer perform when that customer suspects an AWS account has been compromised? (Choose two.),Rotate and delete all AWS access keys.,Remove any multi-factor authentication (MFA) tokens,Move resources to a different AWS Region.,Delete AWS CloudTrail Resources.,,AE,
1609,524,Which AWS services can host PostgreSQL databases? (Select TWO.),Amazon S3,Amazon Aurora,Amazon EC2,Amazon Elasticsearch Service (Amazon ES),,BC,
1496,525,Which AWS service is delivered regionally?,AWS Shield,Amazon S3,Amazon Route 53,AWS Identity and Access Management (IAM),,B,
1612,526,A company launched an Amazon EC2 instance with the latest Amazon Linux 2 Amazon Machine Image (AMI). Which actions can a system administrator take to connect to the EC2 instance? (Select TWO.),Use Amazon EC2 Instance Connect.,Use a Remote Desktop Protocol (RDP) connection.,Use AWS Batch.,Use AWS Systems Manager Session Manager.,,AD,
1706,527,A company plans to move its on-premises servers to Amazon EC2 instances. The company has 50 different business units and wants to separate each billing for each unit. What should a cloud practitioner recommend?,"Use separate AWS accounts for each business unit, then filter by unit using the coverage report.","Place each business unit in a different AWS Region, then filter by unit in Cost Explorer.","Tag each business unit's resources, then filter by unit in Cost Explorer.","Use a different VPC for each business unit, then filter by unit using an AWS Cost and Usage Report.",,C,
1338,528,What does Amazon CloudFront provide?,Automatic scaling for all resources to power an application from a single unified interface,"Secure delivery of data, videos application. and APIs to users globally with low latency","Ability to directly manage traffic globally through a variety of routing types, including latencybased routing, geo ONS. Geoproximity, and weighted round robin","Automatic distribution of incoming application traffic across multiple targets, such as Amazon EC2 instances, containers. IP addresses, and AWS Lambda functions",,A,
1614,529,A social media company allows its public users to upload video content to an Amazon S3 bucket. Some videos are popular and are accessed often. some videos are popular and are accessed often. some videos are accessed infrequently. The company wants to reduce its total storage cost. Which actions will provide the MOST cost savings? (Select TWO.),Run S3 Transfer Acceleration for the S3 bucket.,Ensure that the S3 bucket is in the most cost-effective AWS Region.,Deactivate the default encryption for the S3 bucket.,Use the S3 Intelligent-Tiering storage class.,,BD,
1617,530,Which of the following are characteristics of serverless application that runs in the AWS Cloud? (Select Two.),Users must manually configure Amazon EC2 instances,Users have a choice of operating systems,The application has build-in fault tolerance,Users can run Amazon EC2 Spot Instances,,CE,
1619,531,Which of the following are aspects of the AWS shared responsibility model? (Select Two.),Configuration management of infrastructure devices is the customer’s responsibility,"For Amazon S3, AWS operates the infrastructure layer, the operating systems, and the platforms",AWS is responsible for protecting the physical cloud infrastructure,AWS is responsible for training the customer’s employees on AWS product and services,,BC,
1623,532,Which of the following are advantages of the AWS Cloud? (Select Two.),AWS manages all the security within the cloud,Expenses never change from month to month,Users can stop spending money on the maintenance of data centers,Users do not need to deploy applications globally,,CE,
1825,533,A company is building an application for stock trading. The application needs sub-millisecond latency for processing trade requests. The company uses Amazon DynamoDB to store all the trading data that is used to process each trading request A development team performs load testing on the application and finds that the data retrieval time is higher than expected. The development team needs a solution that reduces the data retrieval time with the least possible effort Which solution meets these requirements?,Add local secondary indexes (LSIs) for the trading data,Store the trading data in Amazon S3 and use S3 Transfer Acceleration,Add retries with exponential backoff for DynamoDB queries,Use DynamoDB Accelerator (DAX) to cache the trading data,,D,
1458,534,"When an Amazon EC2 instance is terminated, which AWS service can identify the user that made the API call?",Amazon CloudWatch,AWS CloudTrail,AWS X-Ray,AWS Identity and Access Management (IAM),,B,
1362,535,Which of the following AWS features enables a user to launch a pre-configured Amazon Elastic Compute Cloud (Amazon EC2) instance?,Amazon Elastic Block Store (Amazon EBS),Amazon Machine Image,Amazon EC2 Systems Manager,Amazon AppStream 2.0,,B,
1631,536,Which statements represent the cost-effectiveness of the AWS Cloud? (Select TWO.),Users can trade fixed expenses for variable expenses.,Users can deploy all over the world in minutes.,AWS offers increased speed and agility.,AWS is responsible for patching the infrastructure.,,BD,
1633,537,Which terms describe the on-demand AWS pricing model? (Select TWO.),Fixed term,Pay-as-you-go,Collocation,Planned,,BE,
1437,538,A company wants to improve the overall availability and performance of its applications that are hosted on AWS. Which AWS service should the company use?,Amazon Connect,Amazon Lightsail,AWS Global Accelerator,AWS Storage Gateway,,C,
1680,539,"Which AWS service gives a company the ability to use a private, dedicated connection between a VPC and an on-premises data center?",AWS Direct Connect,Amazon API Gateway,AWS Systems Manager,AWS CloudFormation,,A,
1774,540,A company manages an on-premises MySQL database on a Windows server. The company wants to migrate the database to AWS and needs a solution that will reduce the administrative overhead of the database. Which AWS service will meet this requirement?,Amazon Redshift,Amazon ElastiCache,Amazon RDS,Amazon Elastic File System (Amazon EFS),,C,
1637,541,Which actions are within the scope of AWS Support? (Select TWO.),Debugging custom software,Troubleshooting operational problems with AWS resources,Performing system administration tasks,Investigating issues detected by health checks,,BC,
1640,542,Which AWS services are managed at the AWS Region level rather than globally? (Select TWO.),Amazon S3,WS WAF,Amazon EC2,AWS Identity and Access Management (IAM),,AC,
1641,543,Which of the following are included in AWS Enterprise Support? (Select TWO.),AWS technical account manager (TAM),AWS partner-led support,AWS Professional Services,Support of third-party software integration to AWS.,,AC,
1709,544,"A company is running a Microsoft SQL Server instance on premises and is migrating its application lo AWS. The company lacks the resources needed to refactor the application, but management wants to reduce operational overhead as part ot the migration. Which database service would MOST effectively support these requirements?",Amazon DynamoDB,Amazon Redshift,Microsoft SQL Server on Amazon EC2,Amazon RDS for SQL Server,,D,
1796,545,"A company has a website that displays a daily newsletter. When a user visits the website, an AWS Lambda function processes the browser's request and queries the company's on-premises database to obtain the current newsletter. The newsletters are stored in English. The Lambda function uses the Amazon Translate TranslateText API operation to translate the newsletters and the translation is displayed to the user Due to an increase in popularity, the website's response time has slowed. The database is overloaded The company cannot change the database and needs a solution that improves the response time of the Lambda function Which solution meets these requirements?",Change to asynchronous Lambda function invocation,Cache the translated newsletters in the Lambda /tmp directory,Enable TranslateText API caching.,Change the Lambda function to use parallel processing,,B,
1616,546,Which task can a user complete by using AWS Identity and Access Management (IAM)?,Validate JSON syntax from an application configuration file,Analyze logs from an Amazon API Gateway call,Filter traffic to or from an Amazon EC2 instance,Grant permissions to applications that run on Amazon EC2 instances,,D,
1513,547,What is the LEAST expensive AWS Support plan that provides 24-hour access to AWS customer service and AWS communities?,AWS Enterprise Support,AWS Business Support,AWS Developer Support,AWS Basic Support,,D,
1646,548,A company is comparing the total cost of ownership (TCO) of resource deployment on premises with the TCO of resource deployment in the AWS Cloud Which costs apply only to on-premises deployments'' (Select TWO),Operating system licensing,Facility operations,Application licensing,Database administration,,AD,
1649,549,What information is found on an AWS Identity and Access Management (IAM) credential report? (Select TWO.),The date and time when an IAM user's password was last used to sign in to the AWS Management Console,The type of multi-factor authentication (MFA) device assigned to an IAM user.,The User-Agent browser identifier for each IAM user currently logged in B,Whether multi-factor authentication (MFA) has been enabled for an IAM user.,,AC,
1653,550,Which AWS services or resources can a company use directly on its on-premises servers? (Select TWO.),AWSOpsWorks,AWS CloudFormation,AWS Storage Gateway,Application Load Balancer,,AC,
1639,551,A developer needs to maintain a development environment infrastructure and a production environment infrastructure in a repeatable fashion. Which AWS service should the developer use to meet these requirements?,AWS Ground Station,AWS Shield,AWS loT Device Defender,AWS CloudFormation,,D,
1440,552,"A company is releasing a business-critical application. Before the release, the company needs strategic planning assistance from AWS. During the release, the company needs AWS infrastructure event management and real-time support. What should the company do to meet these requirements?",Access AWS Trusted Advisor,Contact the AWS Partner Network (APN),Sign up for AWS Enterprise Support,Contact AWS Professional Services,,C,
1854,553,A developer needs to build and deploy a serverless application that has an API that mobile clients will use. The API will use Amazon DynamoDB and Amazon OpenSearch Service (Amazon Elasticsearch Service) as data sources Responses that are sent to the clients will contain aggregated data from both data sources The developer must minimize the number of API endpoints and must minimize the number of API calls that are required to retrieve the necessary data Which solution should the developer use to meet these requirements?,GraphQI. API on AWS AppSync,REST API on Amazon API Gateway,GraphGL API on an Amazon EC2 instance,REST API on AWS Elastic Beanstalk,,B,
1660,554,Which AWS Trusted Advisor checks are available to users with AWS Basic Support? (Select TWO.),Service limits,High utilization Amazon EC2 instances,Security groups - specific ports unrestricted,Load balancer optimization,,AC,
