id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,category,difficulty_level,created_at
1250,"When a user wants to utilize their existing per-socket per-core, or per-virtual machine software licenses for a Microsoft Windows server running on AWS, which Amazon EC2 instance type is required?",Spot Instances,Dedicated instances,Dedicated Hosts,Reserved Instances,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:08.429793
1251,Service control policies (SCPs) manage permissions for which of the following?,Availability Zones,AWS Regions,AWS Organizations,Edge locations,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:08.736912
1252,Which of the following can be used to describe infrastructure as code in the AWS Clouds?,AWS CLI,AWS CloudFormation,AWS CodeDeploy,AWS Amplify,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:09.043022
1253,"When comparing AWS to on-premises total cost of ownership (TCO), what costs are included with AWS?",Data center security,Business analysis,Project management,Operating system administration,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:09.350163
1254,Which duty is a responsibility of AWS under the AWS shared responsibility model?,Identity and access management,Server-side encryption (SSE),Firewall configuration,Maintaining physical hardware,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:09.612857
1255,A company wants to use Amazon Elastic Compute Cloud (Amazon EC2) to deploy a global commercial application. The deployment solution should be built with the highest redundancy and fault tolerance. Based on this situation the Amazon EC2 instances should be deployed:,in a single Availability Zone in one AWS Region,with multiple Elastic Network Interfaces belonging to different subnets,across multiple Availability Zones m one AWS Region,across multiple Availability Zones in two AWS Regions,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:09.962929
1256,Which of the following are advantages of the AWS Cloud?,AWS manages the maintenance of the cloud infrastructure.,AWS manages the security of application built on AWS.,AWS manages capacity planning for physical servers.,AWS manages the development of applications on AWS.,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:10.269416
1257,The continual reduction of AWS Cloud pricing is due to:,pay-as-you go pricing.,the AWS global infrastructure.,economies of scale.,reserved storage pricing.,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:10.575784
1258,How can a company reduce its Total Cost of Ownership (TCO) using AWS?,By minimizing large capital expenditures,By having no responsibility for third-party license costs,By having no operational expenditures,By having AWS manage applications,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:10.882763
1259,A user has an AWS account with a Business-level AWS Support plan and needs assistance with handling a production service disruption. Which action should the user take?,Contact the dedicated AWS technical account manager (TAM),Contact the dedicated AWS Concierge Support team,Open a business-critical system down support case,Open a production system down support case,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:11.188968
1260,"A company would like to host its MySQL databases on AWS and maintain full control over the operating system, database installation, and configuration. Which AWS service should the company use to host the databases?",Amazon RDS,Amazon EC2,Amazon DynamoDB,Amazon Aurora,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:11.495636
1261,Which AWS service does AWS Snowball Edge natively support?,AWS Server Migration Service (AWS SMS),Amazon Aurora,AWS Trusted Advisor,Amazon EC2,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:11.802844
1262,Which AWS service provides the ability to quickly run one-time queries on data in Amazon S3?,Amazon EMR,Amazon DynamoDB,Amazon Redshift,Amazon Athena,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:12.110064
1263,Which task requires the use of AWS account root account user credentials?,Closing an AWS account,Creating a log file,Modifying IAM user permissions,Deleting IAM users,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:12.361210
1264,Which of the following are benefits of running a database on Amazon RDS compared to an onpremises database? (Select TWO ),RDS backups are managed by AWS,RDS supports any relational database,RDS has no database engine licensing costs,RDS database compote capacity can be easily scaled,,AB,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:12.610753
1265,How can consolidated billing within AWS Organizations help lower overall monthly expenses?,By providing a consolidated view of monthly billing across multiple accounts,By pooling usage across multiple accounts to achieve a pricing tier discount,By automating the creation of new accounts through APIs,By leveraging service control policies (SCPs) tor centralized service management,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:12.926710
1266,Management at a large company wants to avoid long-term contracts and is interested in AWS to move from fixed costs to variable costs. What is the value proposition of AWS for this company?,Economy of scale,Pay-as-you-go pricing,Volume discounts,Cost optimization,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:13.233128
1267,Which of the following contribute to total cost of ownership of a workload running in the AWS Cloud? (Select TWO),Hardware maintenance,Power and cooling,Storage costs,Space foe data center,,CE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:13.539689
1268,The AWS Trusted Advisor checks include recommendations regarding which of the following? (Select TWO.),Information on Amazon S3 bucket permissions,AWS service outages,Multi-factor authentication enabled on the AWS account root user,Available software patches,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:13.846290
1269,Using AWS Config to record audit and evaluate changes to AWS resources to enable traceability is an example of which AWS Wed-Architected Framework pillar?,Security,Operational excellence,Performance efficiency,Cost optimization,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:14.154272
1270,What is an AWS Identity and Access Management (IAM) role?,A user associated with an AWS resource,A group associated with an AWS resource,An entity that defines a set of permissions for use with an AWS resource,An authentication credential associated with a multi-factor authentication (MFA) token,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:14.459613
1271,Which tasks require using AWS account root user credentials? (Select TWO.),Creating an Amazon EC2 key pair,Removing an IAM user from the administrators group,Changing the AWS Support plan,Creating an Amazon CloudFront key pair,,CD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:14.766824
1272,A company has deployed several relational databases on Amazon EC2 instances Every month the database software vendor releases new security patches that need to be applied to the databases What is the MOST efficient way to apply the security patches?,Connect to each database instance on a monthly basis and download and apply the necessary security patches from the vendor,Enable automate patching for the instances using the Amazon RDS console,In AWS Config. configure a rule for the instances and the required patch level,Use AWS Systems Manager to automate database patching according to a schedule,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:15.073337
1273,A security officer wants a list of any potential vulnerabilities in Amazon EC2 security groups. Which AWS service should the officer use?,Amazon GuardDuty,AWS Trusted Advisor,AWS CloudTrail,AWS Artifact,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:15.380013
1274,Which AWS service provides a simple and scalable shared file storage solution for use with Linuxbased AWS and on-premises servers?,Amazon S3,Amazon Glacier,Amazon EBS,Amazon EFS,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:15.686747
1275,Which Amazon EC2 pricing model is the MOST cost efficient for an uninterruptible workload that runs once a year for 24 hours?,On-Demand Instances,Reserved Instances,Spot Instances,Dedicated Instances,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:15.992604
1276,Which of the following is a shared control between the customer and AWS?,Providing a key for Amazon S3 client-side encryption,Configuration of an Amazon EC2 instance,Environmental controls of physical AWS data centers,Awareness and training,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:16.299586
1277,A company must process a large amount of data from social media accounts by making graphical queries with high throughput. Which AWS service will help the company design a cloud architecture that will meet these requirements?,Amazon RDS,Amazon DynamoDB,Amazon Neptune,Amazon Redshift,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:16.606258
1278,Which AWS service or feature can be used to prevent SQL injection attacks?,Security groups,Network ACLs,AWS WAF,IAM policy,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:16.913737
1279,Under the AWS shared responsibility model what are the customer's responsibilities? (Select TWO.),Physical and environmental security,Physical network devices including firewalls,Storage device decommissioning,Security of data in transit,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:17.219373
1280,Which AWS service or feature provides log information of the inbound and outbound traffic on network interfaces in a VPC?,Amazon CloudWatch Logs,AWS CloudTrail,VPC Flow Logs,AWS Identity and Access Management (IAM),,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:17.526427
1281,A cloud practitioner has a data analysis workload that is infrequently executed and can be interrupted without harm. To optimize for cost which Amazon EC2 purchasing option should De used?,On-Demand Instances,Reserved instances,Spot Instances,Dedicated Hosts,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:17.778338
1282,Which of the following enable a company to reserve capacity on AWS? (Select TWO.),On-Demand Capacity Reservations,AWS services in scope,Zonal Reserved Instances,Savings Plans,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:18.037379
1283,A company is considering a migration from on premises to the AWS Cloud. The company's IT team needs to offload support of the workload. What should the IT team do to accomplish this goal?,Use AWS Managed Services to provision run and support the company in infrastructure,Build hardware refreshes into the operational calendar to ensure availability,Use Amazon Elastic Container Service (Amazon ECS) on Amazon EC2 instances,Overprovision compute capacity for seasonal events and traffic spikes to prevent downtime,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:18.343300
1284,A company with AWS Enterprise Support needs help understanding its monthly AWS bill and wants to implement billing best practices. Which AWS tool or resource is available to accomplish these goals?,Resource lagging,AWS Concierge Support team,AWS Abuse team,AWS Support,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:18.649466
1285,A company needs 24/7 phone email and chat access with a response time of less than 1 hour if a production system has a service interruption. Which AWS Support plan meets these requirements at the LOWEST cost?,Basic,Developer,Business,Enterprise,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:18.958456
1286,What is a value proposition of the AWS Cloud?,AWS is responsible for security in the AWS Cloud,No long-term contract is required,Provision new servers in days,AWS manages user applications in the AWS Cloud,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:19.262856
1287,Which features and benefits does the AWS Organizations provide? (Select TWO),Establishing real-time communications between members of an internal team,Facilitating the use of NoSQL databases,Providing automated security checks,Implementing consolidated billing,,DE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:19.569295
1288,Using AWS Identity and Access Management (IAM) what can be attached to an Amazon EC2 instance to make service requests?,Group,Role,Policy,Access key,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:19.876161
1289,In which of the following is Amazon CloudFront content cached?,Availability Zones,Local Zones,AWS Regions,Edge locations,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:20.182408
1290,A network engineer needs to build a hybrid cloud architecture connecting on-premises networks to the AWS Cloud using AWS Direct Connect. The company has a few VPCs in a single AWS Region and expects to increase the number of VPCs to hundreds over time. Which AWS service or feature should the engineer use to simplify and scale this connectivity as the VPCs increase in number?,VPC endpoints,AWS Transit Gateway,Amazon Route 53,AWS Secrets Manager,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:20.489612
1291,Which AWS cloud architecture principle slates that systems should reduce interdependences?,Scalability,Services not servers,Removing single points of failure,Loose coupling,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:20.795707
1292,Which AWS service or feature allows a user to establish a dedicated network connection between a company's on-premises data center and the AWS Cloud?,AWS Direct Connect,VPC peering,AWS VPN,Amazon Route 53,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:21.102600
1293,Which of the following is a benefit of using the AWS Cloud?,Permissive security removes the administrative burden.,Ability to focus on revenue-generating activities.,Control over cloud network hardware.,Choice of specific cloud hardware vendors.,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:21.409807
1294,What can be used to reduce the cost of running Amazon EC2 instances? (Select TWO ),Spot Instances for stateless and flexible workloads,Memory optimized instances for nigh-compute workloads,On-Demand Instances for high-cost and sustained workloads,Reserved Instances for sustained workloads,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:21.715841
1295,Under the AWS shared responsibility model what is the customer's responsibility when using an AWS managed service?,Physical security of the data centers,Server-side encryption,Customer data,Operating system patching,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:22.022418
1296,An application is receiving SQL injection attacks from multiple external resources. Which AWS service or feature can help automate mitigation against these attacks?,AWS WAF,Security groups,Elastic Load Balancer,Network ACL,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:22.419213
1297,Which aspect of AWS infrastructure enables global deployment of compute and storage?,Availability Zones,Regions,Tags,Resource groups,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:22.738027
1298,A user needs to quickly deploy a nonrelational database on AWS. The user does not want to manage the underlying hardware or the database software. Which AWS service cart be used to accomplish this?,Amazon RDS,Amazon DynamoDB,Amazon Aurora,Amazon Redshift,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:23.044213
1299,How can a user achieve high availability for a web application hosted on AWS?,Use a Classic Load Balancer across multiple AWS Regions,Use an Application Load Balancer across multiple Availability Zones in one AWS Region,Set up automatic scaling and load balancing with another application instance running on premises,Use the AWS Region with the highest number of Availability Zones,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:23.350737
1300,A startup is working on a new application that needs to go to market quickly. The application requirements may need to be adjusted in the near future. Which of the following is a characteristic of the AWS Cloud that would meet this specific need?,Elasticity,Reliability,Performance,Agility,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:23.658066
1301,Which AWS service is designed to help users who want to use machine learning for natural language processing (NLP) but do not have experience in machine learning?,Amazon Comprehend,Amazon SageMaker,AWS Deep Learning AMIs (DLAMI),Amazon Recognition,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:23.964025
1302,What AWS billing support resource is available to all support levels?,AWS Support concierge,AWS Customer Service,AWS technical account manager,AWS Business Support,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:24.270609
1303,Which AWS service or component allows inbound traffic from the internet to access a VPC?,Internet gateway,NAT gateway,AWS WAF,VPC peering,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:24.577362
1304,The AWS cost management tools give users the ability to do which of the following?,Terminate all AWS resources automatically if budget thresholds are exceeded.,"Break down AWS costs by day, service, and linked AWS account",Create budgets and receive notifications if current or forecasted usage exceeds the budgets.,"Switch automatically to Reserved Instances or Spot Instances, whichever is most cost-effective",,BC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:24.884285
1305,Which of the following is an AWS value proportion that describes a user's ability to scale infrastructure based on demand?,Speed of innovation,Resource elasticity,Decoupled architecture,Global deployment,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:25.190329
1306,What are the benefits of developing and running a new application in the AWS Cloud compared to on-premises? (Select TWO.),AWS automatically distributes the data globally for higher durability,AWS will take care of operating the application,AWS makes it easy to architect for high availability,AWS can easily accommodate application demand changes,,CD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:25.506748
1307,Which of the following can be used to identify a specific user who stopped an amazon EC2 instance?,AWS CloudTrail,Amazon Inspector,Amazon CloudWatch,VPC Flow Logs,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:25.804281
1308,Which design principles are enabled by the AWS cloud to improve the operation of workloads?,Minimize upfront design,Loose coupling,Disposable resources,Server design and concurrency,,BE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:26.110965
1309,An application that runs on Amazon EC2 needs to accommodate a flexible workload that can run or terminate at any time of day. Which pricing model will accommodate these requirements at the LOWEST cost?,Spot Instances,Reserved Instances,On-Demand Instances,Dedicated Host,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:26.417067
1310,Which AWS services or features help decrease network latency for a globally dispersed user base? (Select TWO.),Amazon VPC,Elastic Load Balancer,Amazon CloudFront,AWS Direct Connect,,CE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:26.678039
1311,A company is building a business intelligence solution and wants to use dashboards for reporting purposes. Which AWS service can be used?,Amazon Redshift,Amazon Elasticsearch Service (Amazon ES),Amazon QuicKSight,Amazon Althena,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:27.030977
1312,Which of the following are benefits of AWS Global Accelerator? (Select TWO.),Reduced cost to run services on AWS,Improved availability of applications deployed on AWS,Higher durability of data stored on AWS,Decreased latency to reach applications deployed on AWS,,BD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:27.337776
1313,A company wants to implement an automated security assessment of the scanty and network accessibility of its Amazon EC2 instances. Which AWS service can be used To accomplish this?,Amazon Inspector,AWSConfig,AWS Trusted Advisor,Amazon GuardDuty,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:27.643544
1314,What credential components are required to gain programmatic access to an AWS account? (Select TWO.),An access key ID,A primary key,A secret access key,A user ID,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:27.892788
1315,Which architecture concept describes the ability to deploy resources on demand and release resources when they are no longer needed?,High availability,Decoupled architecture,Resilience,Elasticity,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:28.154853
1316,A company is required lo store its data close to its primary users. Which benefit of the AWS Cloud supports this requirement?,Security,High availability,Elasticity,Global footprint,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:28.473072
1317,"A security engineer wants a single-tenant AWS solution to create, control, and manage their own cryptographic keys to meet regulatory compliance requirements for data security. Which AWS service should the engineer use?",AWS Key Management Service (AWS KMS),AWS Certificate Manager (ACM),AWS CloudHSM,AWS Systems Manager,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:28.775820
1318,AWS trusted advisor can monitor and provide advice on what characteristics of an AWS account?,Compliance with security best practices,Application performance,Network utilization,Cost optimization,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:29.077034
1319,When comparing AWS cloud with premises total cost of ownership which expenses must be considered?,Physical storage hardware,Operating system administration,Network infrastructure of data center,Project management,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:29.393591
1320,Which AWS service does AWS Snowball Edge natively support?,AWS Server Migration Service (AWS SMS),Amazon Aurora,AWS Trusted Advisor,Amazon EC2,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:29.691509
1321,What are the market advantages of running workloads in the AWS cloud?,Less staff time is required to deploy new workloads,Increased time to market for new application features,Higher acquisition costs to support peak workloads,Increased productivity for application development teams,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:30.099007
1322,A cloud practitioner needs to obtain AWS compliance reports before migrating an environment to the AWS Cloud. How can these reports be generated?,Contact the AWS Compliance team.,Download the reports from AWS Artifact.,Open a case with AWS Support.,Generate the reports with Amazon Made.,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:30.408076
1323,Distributing workloads across multiple Availability Zones supports which cloud architecture design principle?,Implement automation.,Design for agility.,Design for failure.,Implement elasticity.,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:30.709957
1324,A user is planning to launch two additional Amazon EC2 instances to increase availability. Which action should the user take?,Launch the instances across multiple Availability Zones in a single AWS Region,Launch the instances as EC2 Reserved Instances in the same AWS Region and the same Availability Zone,Launch the instances in multiple AWS Regions but in the same Availability Zone,Launch the instances as EC2 Spot Instances in the same AWS Region but in different Availability Zones,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:31.022729
1325,"To avoid malicious compute activities, a user needs a quick way to determine if any Amazon EC2 instances have ports that allow Unrestricted access. Which AWS service will support this requirement?",VPC Flow Logs,AWS WAF,AWS CloudTrail,AWS Trusted Advisor,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:31.325702
1326,Which AWS service provides a report that enables users to assess AWS infrastructure compliance?,AWS Certificate Manager (ACM),Amazon DocumentDB (with MongoDB compatibility),AWS Artifact,AWS Trusted Advisor,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:31.645568
1327,A solutions architect needs to maintain a fleet of Amazon EC2 instances so that any Impaired instances are replaced with new ones. Which AWS service should the solutions architect use?,Amazon Elastic Container Service (Amazon ECS),Amazon GuardDuty,AWS Shield,AWS Auto Scaling,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:31.936409
1328,"Which AWS service will allow a user to set custom cost and usage limits, and will alert when the thresholds are exceeded?",AWS Organizations,AWS Budgets,Cost Explorer,AWS Trusted Advisor,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:32.243051
1329,"To optimize costs and resource usage, a company needs to monitor the operational health of its entire system of AWS Cloud resources. Which AWS service will meet these requirements?",AWS Organizations,Amazon CloudWatch,AWS CloudTrail,AWS Config,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:32.551906
1330,Which security-related task is the responsibility of the customer in the AWS cloud?,Securing infrastructure at data centers,Maintaining firewall configurations at a hardware level,Maintaining networking among hardware components,Maintaining server side encryption,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:32.855325
1331,"According to the AWS shared responsibility model, when using amazon RDS who is responsible for scheduling and performing backups?",AWS is responsible for both tasks,The customer is responsible for scheduling and AWS is responsible for performing backups,The customer is responsible for both tasks,AWS is responsible for scheduling and the user is responsible for performing backups,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:33.162768
1332,Which AWS service allows customers to purchase unused Amazon EC2 capacity at an often discounted rate?,Reserved Instances,On-Demand Instances,Dedicated Instances,Spot Instances,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:33.505105
1333,"Which service is an AWS-managed Hadoop framework that makes it easy, fast, and cost-effective to process large amounts of data across dynamically scalable Amazon EC2 instances?",Amazon EMR,Amazon EC2,AWS Elastic Beanstalk,Amazon Redshift,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:33.775088
1334,A user an optimize Amazon EC2 costs by performing which of the following tasks? (Select TWO ),"Implementing Auto Scaling group-, to add and remove instances based on demand",Creating a policy to restrict IAM users from creating new instances,Setting a budget to limit spending on EC2 instances using AWS Budgets,Purchasing Reserved Instances,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:34.082564
1335,"When performing a cost analysis that supports physical isolation of a customer workload, which compute hosting model should be accounted for in the Total Cost of Ownership (TCO)?",Dedicated Hosts,Reserved Instances,On-Demand Instances,No Upfront Reserved Instances,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:34.390134
1336,What technology enables compute capacity to adjust as loads change?,Load balancing,Automatic failover,Round robin,Auto Scaling,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:34.696127
1337,Which of the following are AWS compute services? (Select TWO.),Amazon Lightsail,AWS Systems Manager,AWS CloudFormation,AWS Batch,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:35.002799
1338,What does Amazon CloudFront provide?,Automatic scaling for all resources to power an application from a single unified interface,"Secure delivery of data, videos application. and APIs to users globally with low latency","Ability to directly manage traffic globally through a variety of routing types, including latencybased routing, geo ONS. Geoproximity, and weighted round robin","Automatic distribution of incoming application traffic across multiple targets, such as Amazon EC2 instances, containers. IP addresses, and AWS Lambda functions",,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:35.307991
1339,Which of the following allows an application running on an Amazon EC2 instance to securely write data to an Amazon S3 bucket without using long term credentials?,Amazon Cognito,AWS Shield,AWS IAM role,AWS IAM user access key,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:35.615562
1340,Which AWS service acts as a data extract transform and load (ETL) tool to make it easy to prepare data for analytics?,Amazon QuickSight,Amazon Athena,AWS Glue,AWS Elastic Beanstalk,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:36.229785
1341,Which design principles for cloud architecture are recommended when re-architecting a large monolithic application? (Select TWO.),Use manual monitoring.,Use fixed servers.,Implement loose coupling.,Rely on individual components.,,CE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:36.841702
1342,A company uses Amazon EC2 Instances in its AWS account tor several different workloads. The company needs to perform an analysis to understand the cost of each. workload. What is the MOST operationally efficient way to meet this requirement?,Move the EC2 instances for each workload into separate AWS accounts.,Use a different EC2 instance family for each of the workloads.,"Add cost allocation tags to each EC2 instance, and activate the tags",Update the workload applications to publish usage data to a cost allocation database.,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:37.153863
1343,"If a user has an AWS account with an enterprise level AWS support plan, who is the primary point of contact for billing or account inquiries?",Solutions architect,AWS Concierge Support team,An AWS Marketplace seller,AWS Partner Network (APN) partner,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:37.457256
1344,What is one of the advantages of the Amazon Relational Database Service (Amazon RDS)?,It simplifies relational database administration tasks.,It provides 99.99999999999% reliability and durability.,It automatically scales databases for loads.,It enabled users to dynamically adjust CPU and RAM resources.,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:37.851419
1345,Which guideline is a well-architected design principle for building cloud applications?,Keep static data closer to compute resources.,Provision resources for peak capacity.,Design for automated recovery from failure.,Use tightly coupled components,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:38.115010
